example_id,customer_text,brand_response,intent,escalation,notes
125,@AppleSupport Hours between two stores to replace defective 10.5 IPad; replacement is defective. Now have to start over again. Not good CS,"@703114 Reach out to us via DM and let us know which country you are currently in, then we can dig in to this with you from there. https://t.co/GDrqU22YpT",repair_support,no,
126,@AppleSupport got the 2tb icloud but my harddrve still full. Whats the point of icloud?,"@774817 Glad to help! iCloud storage can be used to store complete device backups, as well as sync photos, videos, and documents. You'll want to refer to the steps in the section titled, ""Free up space on your device"" in this guide for further info: https://t.co/dREC7Rk0Qk",apple_id_account,yes,
127,@AppleSupport I upgraded iMac to Sierra and now no admin passwords are accepted for login to the OS. Can you help? It's essentially bricked at this point,@781516 We understand you need to get logged in. Are you using an Apple ID account to sign in? https://t.co/QnMgELDQi7,apple_id_account,yes,
128,"@AppleSupport Battery life is shorter than usual, if I have my phone switched to silent my alarms make no sounds and snooze doesn’t work, apps malfunction",@605614 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT,battery,no,
129,@AppleSupport why has my tracks gone out of order on purchased album. How do I fix it. https://t.co/yoz5dkaYS0,"@403734 We'd like to look into this with you. To get started, send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT",orders_sales,yes,
130,I’m tired of reading ppl tweets like I have an android! @AppleSupport why does a question inside a box replaces the letter “I”,@455839 Could you Direct Message us and let us know what iOS version you're on? We'll take a look. https://t.co/GDrqU22YpT,repair_support,no,
131,@AppleSupport Plus your support agent online said you have no influence over physical stores. Not sure if describing it all again will do much.,@622430 Please DM us so we can better assist you. https://t.co/GDrqU22YpT,repair_support,no,
132,"@AppleSupport Please help me!! I’ve updated my phone and even restarted it, and nothing works. Please help me.","@304389 We'd like to know more to help. Where are the videos being downloaded from? Also, what's the exact iOS this occur on?",software_update,no,
133,Is anyone else’s iPhone spontaneously crashing and restarting this morning? @AppleSupport,"@248723 We've got steps to solve that restart issue on your iPhone. Let's start by backing up your iPhone with these steps: https://t.co/4f8hwTn4fE, then use these steps to update to iOS 11.2: https://t.co/osZOKKByWM Let us know in DM if those don't help. https://t.co/GDrqU2kzhr",device_performance,no,
134,"@667604 I️ have “the glitch” but it’s better than the plague, I️ guess.
Amazed @115858 can’t get its act together to fix it!  Maybe too much communism @AppleSupport for devices to work properly, eh? Time to go shopping...","@667603 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",device_performance,no,
135,@115858 @AppleSupport my phone trippin now. Why cant i type type the letter i capitalized anymore? It comes out as I️,@489841 We have a solution for you here: https://t.co/xU1AGHStV6,other_unclear,no,
136,iOS 11 is great for battery life: NOT! 10% per hour on low power mode. Don’t upgrade.   @115858 its terrible!!,@664162 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,battery,no,
137,@AppleSupport I have updated and it is still happening.,"@732351 Thanks for updating. Let's continue our troubleshooting in DM. With the link below, let us know if this only affects videos or specific apps. We'll join you there shortly. https://t.co/GDrqU22YpT",software_update,no,
138,My iPhone keeps restarting itself every minute!? Helppppp 😫@AppleSupport,"@787277 We want to help you. Let's try backing up your device and follow the steps that we offer on our article here: https://t.co/osZOKKTalm

This article will walk you through backing up your device: 
https://t.co/4f8hwT5to6",device_performance,no,
139,"@AppleSupport IOS 11 is a hot mess, I had to charge my phone almost 3x day on battery save mode!! On battery save mode!!! Smh smh 🤦‍♂️","@556205 Battery life is important, and we want to look into this further with you. DM us your iOS version, and we'll continue there: https://t.co/GDrqU22YpT",battery,no,
140,@115858 bought my phone iPhone 7 from US.Using it in India. Twice it has been given for no voice recd issue. Within warranty still issue,@543181 We'd like to help. Send us a DM with the full details of the issue you're experiencing. We can work from there. https://t.co/GDrqU22YpT,orders_sales,yes,
141,"@AppleSupport @AppleSupport I’m not attacking or tryn to cause drama, I just really need the Info that’s on my note app. I’m an international student so Losing it is going to affect me because it has important University/Bank info.","@777930 We understand fully. So that we can look into your support options, can you tell us which country you are located in please? DM the response here: https://t.co/GDrqU22YpT",apps_features,no,
142,"@AppleSupport Hi, My MacBook Pro keeps restarting over night when it shouldn't. can you please help?","@778254 We have received your DM and thank you for the time required to share this information with us, we will respond in DM shortly.",device_performance,no,
143,@AppleSupport is there a way to turn off auto brightness on iOS 11?,@370622 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU2kzhr,software_update,no,
144,$350 to replace my water damaged phone and now my watch refuses to pair to the new one @115858 whyyyyyyy,@289937 We're here for you. Are you getting an error when trying to pair?,repair_support,no,
145,"@AppleSupport 6s, battery life, and charging functions, what are we doing about this?",@150961 We understand how important battery life can be. Please meet us in DM and we'll take a further look at this together. https://t.co/GDrqU22YpT,battery,no,
146,@115858 @ATT Apple your latest software update is slowing the speed on my phone on top of draining my battery!!!  WTF?!?  This is annoying!,@168206 We'd like to work with you. Let's discuss this further in DM. https://t.co/GDrqU22YpT,software_update,no,
147,@AppleSupport @115858 My other option was to pay you more money for iCloud storage #WHATARACKET https://t.co/PlCAbxVRwZ,@388581 We'd like to look into what happened with your recent call from support. DM us and we'll get started. https://t.co/GDrqU22YpT,apple_id_account,yes,
148,My iPhone 6s with iOS 11 is sluggish and has reduced battery life. What can I do? @AppleSupport,"@570885 Hello. We know device performance is important. Send us a DM, and we'll take a look into  this. https://t.co/GDrqU22YpT",battery,no,
149,@AppleSupport I went to your store to get my SIM card in and my cellur data worked there but not now I need help this is getting me mad,@208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?,repair_support,no,
150,@AppleSupport looks like someone in support should be able to reset Apple ID #6 weeks still waiting,@281930 Did you request Account Recovery for your Apple ID? Check out this link to learn how to check the status: https://t.co/nXAGZjifvF,other_unclear,no,
151,I feel like @115858 is purposely making my phone slow as shit so I’ll buy a new one,@600811 We want to be sure you get the most from your iPhone's performance. We can help. DM us and we'll go from there. https://t.co/GDrqU22YpT,other_unclear,no,
152,"@AppleSupport after spending €1329 3 hrs ago, still no confirmation of payment. I expect a little more for that kind of money... #iPhoneX","@432506 We got your DM, and we will respond to you there. https://t.co/GDrqU22YpT",payments_billing,yes,
153,IM SO TIRED OF THIS WINGDING BULLSHIT @115858 IF I️ WANTED WINGDING FONTS I️ WOULDVE BOUGHT MICROSOFT WORD 2003 GIVE ME BACK MY LETTER “I” https://t.co/49a8fE7TpE,"@708186 We've got an update to iOS that solves the issue with the letter ""i"". Check at Settings &gt; General &gt; About and if your iPhone isn't on iOS 11.1.1, backup with these steps: https://t.co/4f8hwT5to6, then update your iPhone. If that still happens, let us know in DM. https://t.co/GDrqU22YpT",orders_sales,yes,
154,@AppleSupport when does the pre order for the X start?,@368977 We can help with that. Which country are you located in?,orders_sales,yes,
155,@AppleSupport @115948 how’d I get charged for 3 singles and the album? Preorder wouldn’t download https://t.co/YqOXfUm04y,@652437 Let's help get you into the right hands to get this sorted. Please reach out to our iTunes team via: https://t.co/SDIe7UA9Bl,payments_billing,yes,
156,@115858 where is auto brightness on the newest update?? This is driving me nuts,"@217273 We can help you with that. Go to: Settings &gt; General &gt; Accessibility &gt; Display Accommodations, Auto-Brightness.",software_update,no,
157,Dear @115858 please do something about the “I” problem. We all know how dear “i” is for #apple itself. #iphone #ipad #ipod #imac,"@653635 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",apps_features,no,
158,"@AppleSupport My phone keeps wiping my camera roll, loading it all back up again, then restarting itself.Sone this a good 13 times.h e l p","@340829 We'll point you in the right direction. For help with Photos on iPhone, connect with an Advisor here: https://t.co/IBIY3vMgPj",device_performance,no,
159,@342218 @346741 @115858 It is awful. Phone is hypersensitive. Constantly closing apps and shifting screens,@346740 We'd like to look into some of the issues you are experiencing with your iPhone. Which version of iOS 11 do you have installed?,other_unclear,no,
160,@AppleSupport I've been trying to request account recovery since August! When can I get my account back??,@622801 We'd like to look into this with you! Join us in DM with your location. https://t.co/GDrqU22YpT,apple_id_account,yes,
161,@AppleSupport since updating to iOS 11.1 my battery on my iPhone 6 is draining so quick. I have to recharge my phone several times during the day. Never had this problem before updating.,@713127 We'd like to help you with your battery. Let us know how long the phone lasts typically from full charge via DM. We'll go from there. https://t.co/GDrqU22YpT,other_unclear,no,
162,"@AppleSupport Team, Photos app is acting weird. All pictures are jumbled in the Album folder &amp; it’s not setting right. Also, Below screenshot is from Photos and this happened all a sudden &amp; I haven’t done anything. https://t.co/CYMkRvWyL7","@134533 Hey there! We know how important photos are, so we're more than happy to help and recommend reaching out to our Photos team directly so they can help you figure out what's going on. Click here to get started: https://t.co/IBIY3vMgPj",other_unclear,no,
